,Unnamed: 0,votes,helpfulness,time,reviews,cleanReviews,cleanReviewsBi
10,10,False,19,15878,"Family sharing removal was kind of a d*ck move.
It's been the easiest way for removing players from their servers and having a pretext for closing them to focus on Elden Ring.
No other explaination comes to my mind about this behaviour.
Also doing it just after a sale... hilarious, you got us all, good job.",family sharing removal was kind of a d ck move  it s been the easiest way for removing players from their servers and having a pretext for closing them to focus on elden ring  no other explaination comes to my mind about this behaviour  also doing it just after a sale    hilarious  you got us all  good job ,familyshare shareremoval removalkind kindck ckmove moveeasiest easiestremove removeplayers playersservers serverspretext pretextclose closefocus focuselden eldenring ringexplaination explainationmind mindbehaviour behavioursale salehilarious hilariousgood goodjob
11,11,False,10,10073,"If you want to play online, be it with friends or to pvp, avoid it, recent updates made it quite possible for you to get banned with literally no way of restoring access to multiplayer, at least for free. Your sin? You dared, DARED to get invaded by a cheater (who can easily avoid anticheat software) and who: 

1)Crashed your game to the point where you have to reinstall it;
2)Made you a ""gift"", an impossible item, be it +64 weapon or something even more dumb, without your consent;
3)Change your stats;
4)Change your character size;
5)Spawn mobs or any things from any location;
6)Let your imagination run wild, it might just be possible.

Thanks, FromSoftware

おかげで、株式会社フロム・ソフトウェア",if you want to play online  be it with friends or to pvp  avoid it  recent updates made it quite possible for you to get banned with literally no way of restoring access to multiplayer  at least for free  your sin  you dared  dared to get invaded by a cheater  who can easily avoid anticheat software  and who      crashed your game to the point where you have to reinstall it    made you a  gift   an impossible item  be it     weapon or something even more dumb  without your consent    change your stats    change your character size    spawn mobs or any things from any location    let your imagination run wild  it might just be possible   thanks  fromsoftware                     ,onlinefriends friendspvp pvpavoid avoidupdate updateban banliterally literallyrestore restoreaccess accessmultiplayer multiplayerfree freesin sindare daredare dareinvade invadecheater cheatereasily easilyavoid avoidanticheat anticheatsoftware softwarecrash crashpoint pointreinstall reinstallgift giftimpossible impossibleitem itemweapon weapondumb dumbconsent consentchange changestats statschange changecharacter charactersize sizespawn spawnmob mobthings thingslocation locationimagination imaginationwild wildfromsoftware
12,12,False,16,172514,"If you like games like the first dark souls 1 and 2 for the pve experience this game is great. 
But if you like playing multiplayer this game is utter garbage and a waste of money as the creators have done nothing to protect users from getting banned by faulty itemdrops by cheaters and or maliacious use of scripts online that effects users with no itention of cheating resulting in bans. To play this game online you need to know how to dodge malicious users. This involves downloading mods for protection. Wait for Elden Ring and hope fromsoft/bandai namco implement real protection for online users if you like this kind of game. It was good while it lasted but this game isn't safe to play anymore. Fromsofts customer service is a joke.",if you like games like the first dark souls   and   for the pve experience this game is great   but if you like playing multiplayer this game is utter garbage and a waste of money as the creators have done nothing to protect users from getting banned by faulty itemdrops by cheaters and or maliacious use of scripts online that effects users with no itention of cheating resulting in bans  to play this game online you need to know how to dodge malicious users  this involves downloading mods for protection  wait for elden ring and hope fromsoft bandai namco implement real protection for online users if you like this kind of game  it was good while it lasted but this game isn t safe to play anymore  fromsofts customer service is a joke ,pveexperience experiencegreat greatmultiplayer multiplayerutter uttergarbage garbagewaste wastemoney moneycreators creatorsprotect protectusers usersban banfaulty faultyitemdrops itemdropscheaters cheatersmaliacious maliaciousscript scriptonline onlineusers usersitention itentioncheat cheatresult resultban banonline onlinedodge dodgemalicious malicioususers usersinvolve involvedownload downloadmods modsprotection protectionwait waitelden eldenring ringhope hopefromsoft fromsoftbandai bandainamco namcoimplement implementreal realprotection protectiononline onlineusers userskind kindgood goodsafe safefromsofts fromsoftscustomer customerservice servicejoke
13,13,False,40,4003,"IDIOT BANDAI NAMCO
Great game with terrible online. Full of hackers and company didn't do anything to prevent that.

Don't play online!!!! YOU WILL GET BANNED.

Hackers can force sshhhhiiitttt into your inventory, break your save and permanently ban you from online servers.

What a Fffuuuucccckkkking embarrassment.

Cheaters are too rampart to enjoy the game, and they can put cheated items into your inventory, causing you to be softbanned, along with the cheaters.

hackers started to easily spawn you and put hacked items in your inventory, corrupting your game files.
It is extremely frustrating and makes the game almost impossible to play online. You should not buy the game if you are planning to play it online.

I did my research and found that FromSoftware does not respond to complaints like this and the ban is permanent.",idiot bandai namco great game with terrible online  full of hackers and company didn t do anything to prevent that   don t play online     you will get banned   hackers can force sshhhhiiitttt into your inventory  break your save and permanently ban you from online servers   what a fffuuuucccckkkking embarrassment   cheaters are too rampart to enjoy the game  and they can put cheated items into your inventory  causing you to be softbanned  along with the cheaters   hackers started to easily spawn you and put hacked items in your inventory  corrupting your game files  it is extremely frustrating and makes the game almost impossible to play online  you should not buy the game if you are planning to play it online   i did my research and found that fromsoftware does not respond to complaints like this and the ban is permanent ,idiotbandai bandainamco namcogreat greatterrible terribleonline onlinefull fullhackers hackerscompany companyprevent preventonline onlineban banhackers hackersforce forcesshhhhiiitttt sshhhhiiittttinventory inventorybreak breaksave savepermanently permanentlyban banonline onlineservers serversfffuuuucccckkkking fffuuuucccckkkkingembarrassment embarrassmentcheaters cheatersrampart rampartenjoy enjoycheat cheatitems itemsinventory inventorysoftbanned softbannedcheaters cheatershackers hackersstart starteasily easilyspawn spawnhack hackitems itemsinventory inventorycorrupt corruptfile fileextremely extremelyfrustrate frustrateimpossible impossibleonline onlinebuy buyplan planonline onlinefind findfromsoftware fromsoftwarerespond respondcomplaints complaintsban banpermanent
14,14,False,22,34756,"Don't buy this game now. Bandai removed family sharing 4 YEARS after launch to force those who got banned to re purchase the game. Hackers have gotten myself, and others banned btw, by dropping things in your world/running scripts. If they made the ban system ACTUALLY work, i'd say, why not? But as it currently stands, it's just a greedy move on their part to force the community to buy the game again, KNOWING the ban system is flawed. 

Review bomb the game into oblivion. They don't care about the community, or the people who've been screwed by the way bans work. They just want your $$. And $59 for a 4 year old game that receives zero updates? HAHAHAHAHAHAHAHAHAHAHAHAHAAHHAAHHAAHAHAHAHAH!",don t buy this game now  bandai removed family sharing   years after launch to force those who got banned to re purchase the game  hackers have gotten myself  and others banned btw  by dropping things in your world running scripts  if they made the ban system actually work  i d say  why not  but as it currently stands  it s just a greedy move on their part to force the community to buy the game again  knowing the ban system is flawed    review bomb the game into oblivion  they don t care about the community  or the people who ve been screwed by the way bans work  they just want your     and     for a   year old game that receives zero updates  hahahahahahahahahahahahahaahhaahhaahahahahah ,buybandai bandairemove removefamily familyshare shareyears yearslaunch launchforce forceban banpurchase purchasehackers hackersban banbtw btwdrop dropthings thingsscript scriptban bansystem systemwork workstand standgreedy greedymove moveforce forcecommunity communitybuy buyban bansystem systemflaw flawreview reviewbomb bomboblivion oblivioncare carecommunity communitypeople peoplescrew screwban banwork workyear yearreceive receiveupdate updatehahahahahahahahahahahahahaahhaahhaahahahahah
15,15,False,18,1155,"Developers disabled family share for this game, after it has been working fine for years",developers disabled family share for this game  after it has been working fine for years,developersdisable disablefamily familyshare sharework workfine fineyears
16,16,False,16,5134,"OMFG i cannot express just how mad the community for this game makes me. i have never in my life met such hatefull hackers and counter hackers EVER. 

let me put in better perception my experience with this trash heep of a game's community.
so originally i had owned this game for PS3 and thought to myself after 100s of hours wow this game would be awesome if it could be modded so i had bought it for PC and knew nothing of the ban system (as a side note OMFG why DOES THIS GAME BAN PEOPLE SO EASILY BUT NEVER TOUCHES THE GRIEFFING HACKERS WTF) instantly i get in the game alter my stats so pretty much go through the game in a day because i was not there for the base game i was there for the modding of the game. tues comes around and in the same instant i modded my stats i get banned :/ ""ok no worries i clearly caused it"". 

so i learn about family share ""nice"" make a new account beat the game legit this time and start looking up whats ""bannable"" and whats not during this time i see a few videos around about peoples homemade boss characters and think wow that would be Amazing!, So i make one myself do a few matches in a high PvP area get all around well reception :3. But then the salty hackers comes online. I had decided to do a role play in the ringed city where i was the ""Void Lord"" causally strolling through the city with my phantoms acting as my royal guard. now as a side note i want to point out how much work it is to change anything in the game EVERY EFFECT AND EVERY CHANGE MUST BE MANUALLY IMPUTED EVERY TIME YOU LAUNCH THE GAME this takes hours my fastest time being two hours of raw data setting. 

i start my walk through the city not hiding that the ""hacks"" are in place i also want to point out that my ""boss""character does not fight and is very beatable not broken just flashy. but no a hacker who's character name is end see this as cheating breaks the role play invades me and insta curses me. Not only does he do this once but keeps invading just to insta curse. ""but Stormy"" you say ""you were hacking you deserve this"" i was trying to host a fun little role play not break the PvP element to the game. so i think to myself ""ok this dude is the only one its a bad day to do this"" log off and try again tomorrow.

so again i get problems i log on the next day everyone plays along the invaders if have fun AS THE WHOLE THING WAS SUPPOSED TO BE. but then i find out that one of the players not only hacks items into the account to ban it but he also HACKS THE FAMILY SHARE ACCOUNT TO FORCEFULLY DISABLE THE FAMILY SHARE ON THE GAME.

so yes if you ask is the game worth it on PC HELL NO! the publisher is to ignorant to figure out how to appropriately make a proper ban system and allows constant griefers to run rampant in the game.",omfg i cannot express just how mad the community for this game makes me  i have never in my life met such hatefull hackers and counter hackers ever    let me put in better perception my experience with this trash heep of a game s community  so originally i had owned this game for ps  and thought to myself after    s of hours wow this game would be awesome if it could be modded so i had bought it for pc and knew nothing of the ban system  as a side note omfg why does this game ban people so easily but never touches the grieffing hackers wtf  instantly i get in the game alter my stats so pretty much go through the game in a day because i was not there for the base game i was there for the modding of the game  tues comes around and in the same instant i modded my stats i get banned     ok no worries i clearly caused it     so i learn about family share  nice  make a new account beat the game legit this time and start looking up whats  bannable  and whats not during this time i see a few videos around about peoples homemade boss characters and think wow that would be amazing   so i make one myself do a few matches in a high pvp area get all around well reception     but then the salty hackers comes online  i had decided to do a role play in the ringed city where i was the  void lord  causally strolling through the city with my phantoms acting as my royal guard  now as a side note i want to point out how much work it is to change anything in the game every effect and every change must be manually imputed every time you launch the game this takes hours my fastest time being two hours of raw data setting    i start my walk through the city not hiding that the  hacks  are in place i also want to point out that my  boss character does not fight and is very beatable not broken just flashy  but no a hacker who s character name is end see this as cheating breaks the role play invades me and insta curses me  not only does he do this once but keeps invading just to insta curse   but stormy  you say  you were hacking you deserve this  i was trying to host a fun little role play not break the pvp element to the game  so i think to myself  ok this dude is the only one its a bad day to do this  log off and try again tomorrow   so again i get problems i log on the next day everyone plays along the invaders if have fun as the whole thing was supposed to be  but then i find out that one of the players not only hacks items into the account to ban it but he also hacks the family share account to forcefully disable the family share on the game   so yes if you ask is the game worth it on pc hell no  the publisher is to ignorant to figure out how to appropriately make a proper ban system and allows constant griefers to run rampant in the game ,omfgexpress expressmad madcommunity communitylife lifemeet meethatefull hatefullhackers hackerscounter counterhackers hackersperception perceptionexperience experiencetrash trashheep heepcommunity communityoriginally originallyps pshours hourswow wowawesome awesomemodded moddedbuy buypc pcban bansystem systemside sidenote noteomfg omfgban banpeople peopleeasily easilytouch touchgrieffing grieffinghackers hackerswtf wtfinstantly instantlyalter alterstats statspretty prettyday daybase basemodding moddingtues tuesinstant instantmodded moddedstats statsban banworry worrylearn learnfamily familyshare sharenice niceaccount accountbeat beatlegit legittime timestart startbannable bannabletime timevideos videospeople peoplehomemade homemadeboss bosscharacter characterwow wowamaze amazematch matchhigh highpvp pvparea areareception receptionsalty saltyhackers hackersonline onlinedecide deciderole rolering ringcity cityvoid voidlord lordcausally causallystroll strollcity cityphantoms phantomsroyal royalguard guardside sidenote notepoint pointwork workchange changechange changemanually manuallyimpute imputetime timelaunch launchhours hoursfastest fastesttime timehours hoursraw rawdata dataset setstart startwalk walkcity cityhide hidehack hackplace placepoint pointboss bosscharacter characterfight fightbeatable beatablebreak breakflashy flashyhacker hackercharacter charactercheat cheatbreak breakrole roleinvade invadeinsta instacurse curseinvade invadeinsta instacurse cursestormy stormyhack hackdeserve deservehost hostfun funrole rolebreak breakpvp pvpelement elementdude dudebad badday daylog logtomorrow tomorrowproblems problemslog logday dayinvaders invadersfun funthing thingsuppose supposefind findplayers playershack hackitems itemsaccount accountban banhack hackfamily familyshare shareaccount accountforcefully forcefullydisable disablefamily familyshare shareworth worthpc pchell hellpublisher publisherignorant ignorantfigure figureappropriately appropriatelyproper properban bansystem systemconstant constantgriefers griefersrampant
17,17,False,10,1005,"New game, invader filled inventory with hacked items, forced to delete character in case of ban or download mods just to fix this issue.",new game  invader filled inventory with hacked items  forced to delete character in case of ban or download mods just to fix this issue ,invaderfill fillinventory inventoryhack hackitems itemsforce forcedelete deletecharacter charactercase caseban bandownload downloadmods modsissue
18,18,False,13,2627,"Bandai namco are banning accounts of innocent players, knowing that hackers can inject items into a player's clean save that triggers a ban",bandai namco are banning accounts of innocent players  knowing that hackers can inject items into a player s clean save that triggers a ban,bandainamco namcoban banaccount accountinnocent innocentplayers playershackers hackersinject injectitems itemsplayer playerclean cleansave savetrigger triggerban
19,19,False,13,7308,"I'm really trying to like this game but i get invaded every 5 minutes by either a player who clearly has much much much better stuff then i have or a straight up cheater. I also feel like i cant criticize this game without all the fanboys acting like i just butchered their Sacred cow. I loved the pvp in dark souls 1 and 2 so its not like i just don't like dark souls pvp. I'm not sure what i don't like more. How toxic this game can be or the people who are willing to defend it. Its like people cant understand that maybe there's a happy medium between getting invaded every 10 minutes by someone whos clearly got far better stuff then you and never getting invaded at all. I had to literally go offline for the aldrichs faithful area cause of how insane it gets. Which is sad cause i used to love the coop community and the invasion community. I love taking part of it and doing the covenant stuff but this just goes to an extreme. Hopefully this is just cause of the covid-19 and everyone is just online right now cause if this is the norm i have seriously lost respect for these developers. Also when people say that is excusable merely cause those are the intended game mechanics i really think you have your head up your dark hole. Just cause its an intended game mechanic doesn't even remotely mean that its a good one. I can make a game mechanic that makes it so you have to hit an enemy 1 million times before you kill then and they only have to hit you once to kill you plus your character is blind so your screens black and oh your opponent can move faster than you can react......that doesn't mean anything cause just its in the game. And those who say ""stop complaining and just play offline"" just show how bad the pvp really is. Cause that means i literally have to stop playing a decently big part of the game all cause of one toxic mechanic. I shouldn't have to forgo many fun gaming mechanics cause of one terrible one. ""go offline"" isn't a solution its a testament to how bad this game is with pvp. I'm sure some people are going to rabidly defend this games pvp but hopefully those who are actually willing to put down the pitch forks and listen hopefully this review can give you some insight. There is alot good about this game but thats no excuse for how terrible the pvp portion is.",i m really trying to like this game but i get invaded every   minutes by either a player who clearly has much much much better stuff then i have or a straight up cheater  i also feel like i cant criticize this game without all the fanboys acting like i just butchered their sacred cow  i loved the pvp in dark souls   and   so its not like i just don t like dark souls pvp  i m not sure what i don t like more  how toxic this game can be or the people who are willing to defend it  its like people cant understand that maybe there s a happy medium between getting invaded every    minutes by someone whos clearly got far better stuff then you and never getting invaded at all  i had to literally go offline for the aldrichs faithful area cause of how insane it gets  which is sad cause i used to love the coop community and the invasion community  i love taking part of it and doing the covenant stuff but this just goes to an extreme  hopefully this is just cause of the covid    and everyone is just online right now cause if this is the norm i have seriously lost respect for these developers  also when people say that is excusable merely cause those are the intended game mechanics i really think you have your head up your dark hole  just cause its an intended game mechanic doesn t even remotely mean that its a good one  i can make a game mechanic that makes it so you have to hit an enemy   million times before you kill then and they only have to hit you once to kill you plus your character is blind so your screens black and oh your opponent can move faster than you can react      that doesn t mean anything cause just its in the game  and those who say  stop complaining and just play offline  just show how bad the pvp really is  cause that means i literally have to stop playing a decently big part of the game all cause of one toxic mechanic  i shouldn t have to forgo many fun gaming mechanics cause of one terrible one   go offline  isn t a solution its a testament to how bad this game is with pvp  i m sure some people are going to rabidly defend this games pvp but hopefully those who are actually willing to put down the pitch forks and listen hopefully this review can give you some insight  there is alot good about this game but thats no excuse for how terrible the pvp portion is ,invademinutes minutesplayer playerstuff stuffstraight straightcheater cheaterfeel feelcriticize criticizefanboys fanboysbutcher butchersacred sacredcow cowlove lovepvp pvppvp pvptoxic toxicpeople peopledefend defendpeople peopleunderstand understandhappy happymedium mediuminvade invademinutes minutesstuff stuffinvade invadeliterally literallyoffline offlinealdrichs aldrichsfaithful faithfularea areainsane insanesad sadlove lovecoop coopcommunity communityinvasion invasioncommunity communitylove lovecovenant covenantstuff stuffextreme extremecovid covidonline onlinenorm normlose loserespect respectdevelopers developerspeople peopleexcusable excusableintend intendmechanics mechanicshead headhole holeintend intendmechanic mechanicremotely remotelygood goodmechanic mechanichit hitenemy enemytime timekill killhit hitkill killcharacter characterblind blindscreen screenblack blackopponent opponentmove movefaster fasterreact reactcomplain complainoffline offlinebad badpvp pvpliterally literallydecently decentlybig bigtoxic toxicmechanic mechanicforgo forgofun funmechanics mechanicsterrible terribleoffline offlinesolution solutiontestament testamentbad badpvp pvppeople peoplerabidly rabidlydefend defendpvp pvppitch pitchfork forklisten listenreview reviewinsight insightalot alotgood goodexcuse excuseterrible terriblepvp pvpportion
21,21,False,13,15969,"Thank you Bandai Namco for such a great anti-cheat system. After disabling family share option I cannot play online anymore. 

P.S. Boss Rush and Cinders are great mods btw.",thank you bandai namco for such a great anti cheat system  after disabling family share option i cannot play online anymore    p s  boss rush and cinders are great mods btw ,bandainamco namcogreat greatanti anticheat cheatsystem systemdisable disablefamily familyshare shareoption optiononline onlineboss bossrush rushcinders cindersgreat greatmods modsbtw
22,22,False,16,13233,"This is one of my favorite games of all time. But disabling family share is one of the worst decisions Bandai could have made right now. As it stands, the anti-cheat system does very little besides punish innocent players. Hackers who know what they are doing can easily avoid getting soft banned. The best way for a non-cheating player to avoid getting soft banned is to mod the game with PVP watchdog, and even that doesn't eliminate all the ways a hacker can get someone soft banned. Family share was the only reliable way for innocent players to avoid a wrongful soft ban, and Bandai got rid of that.

It would better if the anti-cheat system was just disabled entirely and left to the modding community, who has been doing a significantly better job than From or Bandai for the past three games.",this is one of my favorite games of all time  but disabling family share is one of the worst decisions bandai could have made right now  as it stands  the anti cheat system does very little besides punish innocent players  hackers who know what they are doing can easily avoid getting soft banned  the best way for a non cheating player to avoid getting soft banned is to mod the game with pvp watchdog  and even that doesn t eliminate all the ways a hacker can get someone soft banned  family share was the only reliable way for innocent players to avoid a wrongful soft ban  and bandai got rid of that   it would better if the anti cheat system was just disabled entirely and left to the modding community  who has been doing a significantly better job than from or bandai for the past three games ,favoritetime timedisable disablefamily familyshare shareworst worstdecisions decisionsbandai bandaistand standanti anticheat cheatsystem systempunish punishinnocent innocentplayers playershackers hackerseasily easilyavoid avoidsoft softban bancheat cheatplayer playeravoid avoidsoft softban banmod modpvp pvpwatchdog watchdogeliminate eliminateways wayshacker hackersoft softban banfamily familyshare sharereliable reliableinnocent innocentplayers playersavoid avoidwrongful wrongfulsoft softban banbandai bandairid ridanti anticheat cheatsystem systemdisable disableleave leavemodding moddingcommunity communityjob jobbandai
